Variable,3.000000 km,total,Beyond
B03002_008E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Some other race alone,87.0,688071,687984.0
B03002_006E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Asian alone,266.0,14024878,14024612.0
B03002_016E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Asian alone,0.0,173029,173029.0
B03002_004E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Black or African American alone,8763.0,37126836,37118073.0
"B03002_021E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",43.0,1121553,1121510.0
B03002_018E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Some other race alone,142.0,16311732,16311590.0
B03002_010E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,0.0,248817,248817.0
B03002_002E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:,20109.0,256283191,256263082.0
B03002_012E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:,534.0,51444403,51443869.0
B03002_014E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Black or African American alone,92.0,1126759,1126667.0
B03003_002E : B03003.  Hispanic or Latino Origin : Not Hispanic or Latino,20109.0,256283191,256263082.0
B03002_009E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:,181.0,5329267,5329086.0
B03002_015E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!American Indian and Alaska Native alone,0.0,439048,439048.0
B03002_005E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!American Indian and Alaska Native alone,111.0,2048832,2048721.0
B03002_017E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,32970,32970.0
B03002_020E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:!!Two races including Some other race,84.0,1188607,1188523.0
B03002_019E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!Two or more races:,127.0,2310160,2310033.0
B03002_003E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!White alone,10701.0,196606503,196595802.0
"B03002_011E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",181.0,5080450,5080269.0
B03002_001E : B03002.  Hispanic or Latino by Race : Total:,20643.0,307727594,307706951.0
B03002_013E : B03002.  Hispanic or Latino by Race : Hispanic or Latino:!!White alone,173.0,31050705,31050532.0
B03002_007E : B03002.  Hispanic or Latino by Race : Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,0.0,458804,458804.0
B03003_003E : B03003.  Hispanic or Latino Origin : Hispanic or Latino,534.0,51444403,51443869.0
B03003_001E : B03003.  Hispanic or Latino Origin : Total:,20643.0,307727594,307706951.0
